record_id,domain,attribute,value,status,evidence_class
"P001","identity","role","Независимый технический партнёр промышленного предприятия","core","brand"
"P002","identity","promise","Возвращаю предприятию техническую определённость и контроль над решением","core","brand"
"P003","identity","reputation","Надёжный, предсказуемый, компетентный человек, с которым можно делать дела","core","user_positioning"
"P004","proof","experience","Опыт с 2007 года","verified","brand_culture"
"P005","proof","engineering_tasks","600+ инженерных задач","stated","brand_culture"
"P006","proof","companies","50+ компаний","stated","brand_culture"
"P007","proof","energy_case","Экономический эффект энергетического проекта до $4,7 млн","verified_without_annualization","resume_and_cases"
"P008","scope","industry","Машиностроение","in_scope","positioning"
"P009","scope","industry","Промышленное оборудование","in_scope","positioning"
"P010","scope","objects","Механические узлы и детали","in_scope","positioning"
"P011","scope","service","Реверс-инжиниринг","in_scope","positioning"
"P012","scope","service","Восстановление конструкторской документации","in_scope","positioning"
"P013","scope","service","Модернизация оборудования и изделий","in_scope","positioning"
"P014","scope","service","Подготовка производства","in_scope","positioning"
"P015","scope","service","Локализация и импортозамещение","in_scope","positioning"
"P016","scope","service","Снижение себестоимости конструкции","in_scope","positioning"
"P017","scope","service","Независимая техническая проверка поставщика","in_scope","positioning"
"P018","scope","service","Техническая коммуникация B2B/B2G","in_scope","resume"
"P019","boundary","exclude","Проектирование зданий","out_of_scope","positioning"
"P020","boundary","exclude","Электрика и электротехническое проектирование","out_of_scope","positioning"
"P021","boundary","exclude","Строительные металлоконструкции как профильная специализация","out_of_scope","positioning"
"P022","trigger","problem","Оборудование или критическая деталь недоступны","engage","positioning"
"P023","trigger","problem","КД потеряна, неполна или не соответствует изделию","engage","positioning"
"P024","trigger","problem","Единственный поставщик диктует цену или срок","engage","positioning"
"P025","trigger","problem","Импортозамещение не дало ожидаемого результата","engage","positioning"
"P026","trigger","problem","Решение поставщика нужно проверить до оплаты","engage","positioning"
"P027","trigger","problem","Изделие дорого или нестабильно производить","engage","positioning"
"P028","trigger","problem","Разработка застряла между КБ, технологами, снабжением и цехом","engage","positioning"
"P029","method","diagnosis","Собрать образец, КД, архив, замеры, переписку и ограничения в единую техническую картину","method","positioning"
"P030","method","interfaces","Проверить стыки КБ, технологии, снабжения, производства, эксплуатации и подрядчиков","method","positioning"
"P031","method","preproduction_check","Проверить компоновку, технологичность, материалы, допуски, крепления и ремонтопригодность до изготовления","method","positioning"
"P032","method","reverse_engineering","Восстановить конструкцию по физическому образцу и архивным материалам","method","positioning"
"P033","method","supplier_check","Сопоставить ТЗ, предложение поставщика, КД, комплектность, FAT и технические ограничения","method","positioning"
"P034","method","cost_engineering","Искать стоимость в количестве деталей и операций, сварке, металлоёмкости, ручной доводке, крепеже и оснастке","method","positioning"
"P035","deliverable","knowledge","Собственная КД и восстановленное инженерное знание остаются у предприятия","outcome","brand_culture"
"P036","deliverable","acceptance","Критерии контроля и приёмки","outcome","brand_culture"
"P037","deliverable","alternative","Альтернативный поставщик или второй сценарий","outcome","brand_culture"
"P038","deliverable","manufacturability","Решение можно изготовить, собрать, обслужить и повторить","outcome","brand_culture"
"P039","value","dependency","Меньше зависимости от одного поставщика или носителя неформального знания","business_value","brand_culture"
"P040","value","error_cost","Меньше цены инженерной ошибки за счёт проверки до оплаты или изготовления","business_value","brand_culture"
"P041","value","predictability","Понятные риски, маршрут производства и резервный сценарий","business_value","brand_culture"
"P042","principle","understand_first","Сначала понять, потом моделировать","culture","brand_culture"
"P043","principle","fact_over_authority","Факт сильнее авторитета; если поставщик прав, это нужно сказать","culture","brand_culture"
"P044","principle","shop_floor_test","Решение должно выдержать цех","culture","brand_culture"
"P045","principle","knowledge_ownership","После проекта у заказчика должно быть больше знания и альтернатив, а не больше зависимости","culture","brand_culture"
"P046","principle","consequence","Инженер отвечает не за линию в CAD, а за её цену в металле, сроках и P&L","culture","brand_culture"
"P047","case","sheet_metal","Гибка вместо части сварочных операций: цикл около -15%, себестоимость около -35%","needs_primary_verification","user_claim"
"P048","case","gearbox","Комплект шестерён около $500 вместо редуктора около $2500; ресурс около x2.5","partially_verified","user_claim"
"P049","case","reverse_rotors","Реверс рабочих органов винтового компрессора при отсутствии исходного производителя","documented","cases"
"P050","case","foreign_gears","Реверс деталей иностранного редуктора: геометрия, материал, КД и подбор производства","documented","cases"
"P051","case","hydraulic_hammer","Реверс поршня гидромолота с требованиями к материалу, контролю и обработке","documented","cases"
"P052","case","zhodino_chp","Участие в проекте котла 60 т/ч для Жодинской ТЭЦ","documented","cases"
"P053","commercial","decision_language","Объяснять техническое решение через деньги, риски, сроки и стоимость владения","B2B_B2G","resume"
"P054","commercial","sales","Соединять инженерную экспертизу, переговоры и технические продажи","B2B_B2G","resume"
"P055","commercial","stakeholders","Работать с производством, закупками, техническими специалистами и ЛПР","B2B_B2G","resume"
"P056","decision","call_when","Подключать, когда техническая неопределённость уже начала превращаться в деньги","core_cta","positioning"
"P057","client_evidence","reliability","ПГС-Техно характеризует исполнителя как надёжного партнёра при реверс-инжиниринге комплектующих для станка","documented_client_letter","ПГС-Техно, 2024-12-26"
"P058","client_evidence","delivery","ПГС-Техно подтверждает получение чертежей комплектующих в установленные сроки","documented_client_letter","ПГС-Техно, 2024-12-26"
"P059","client_evidence","quality","ПГС-Техно подтверждает соответствие полученных чертежей требованиям заказчика","documented_client_letter","ПГС-Техно, 2024-12-26"
"P060","client_evidence","professionalism","ПГС-Техно отдельно отмечает внимание к деталям, оперативность решения вопросов и профессионализм","documented_client_letter","ПГС-Техно, 2024-12-26"
"P061","client_evidence","reverse_engineering","ТехПромМетСнаб подтверждает выполнение заказа по реверс-инжинирингу комплектующих для предприятий цементной промышленности","documented_client_letter","ТехПромМетСнаб, 2022-03-18"
"P062","client_evidence","requirements","ТехПромМетСнаб сообщает, что при выполнении заказа были учтены пожелания по конструкторской документации и соблюдены качество и сроки","documented_client_letter","ТехПромМетСнаб, 2022-03-18"
"P063","client_evidence","engineering_documentation","ПНПК подтверждает разработку комплекта конструкторской документации изделий для энергооборудования","documented_client_letter","ПНПК, 2022-11-16"
"P064","client_evidence","speed","ПНПК отмечает профессионализм, внимание к деталям, качество проработки, честность и скорость решения задач","documented_client_letter","ПНПК, 2022-11-16"
"P065","client_evidence","reverse_engineering","БелПраймДрайв подтверждает выполнение заказа по реверс-инжинирингу деталей механической передачи согласно техническому заданию","documented_client_letter","БелПраймДрайв"
"P066","client_evidence","documentation","БелПраймДрайв подтверждает получение документации, необходимой для дальнейшей работы","documented_client_letter","БелПраймДрайв"
"P067","client_evidence","production_documentation","Сальдатурелайф подтверждает изготовление конструкторской документации на производственную продукцию с износостойким покрытием","documented_client_letter","Сальдатурелайф"
"P068","client_evidence","project_documentation","GlobalClean подтверждает разработку проектной документации для автоматизированной тоннельной мойки автомобилей, включая 3D-модели и чертежи деталей для замены изношенных элементов","documented_client_letter","GlobalClean"
"P069","client_evidence","resource_saving","GlobalClean сообщает, что выполненная работа позволила значительно сократить время и ресурсы на обновление оборудования","documented_client_letter","GlobalClean"
"P070","client_evidence","industrial_documentation","T4Power подтверждает вклад в разработку проектной документации для производственной продукции и отмечает оперативность выполнения задач","documented_client_letter","T4Power, 2024-03-25"
